"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Ackerman","LØS","Support",18,"50%","39%",19,39,184,5.2,"78.7%","7.4%","15.2%","39%",211,122,0.1,1.2,"2.6%",269,"9.8%","7.7%",1504,144,"10.9%",0,1.78,0.37,0.52
"Ayu","FURIA","ADC",18,"61%","44%",100,34,99,5.9,"68.9%","34.6%","16.2%","22%",-90,-55,-2.8,9.8,"30.5%",881,"30.1%","33.2%",10139,389,"28.9%",0,0.42,0.13,0.32
"BAO","Fluxo W7M","ADC",16,"56%","50%",71,27,85,5.8,"71.2%","32.4%","12.4%","25%",28,-78,-2.4,9.9,"29.6%",786,"28.9%","31.2%",7213,346,"27.4%",0,0.54,0.16,0.33
"Booki","Leviatan","Jungle",15,"13%","40%",31,57,81,2,"71.3%","19.7%","20.0%","27%",-62,-61,-1.3,6.3,"16.7%",383,"14.2%","15.4%",1588,220,"19.0%",0,0.3,0.25,0.37
"Bull","LOUD","ADC",17,"53%","53%",53,45,91,3.2,"62.9%","23.1%","19.1%","18%",-71,188,4.9,9.9,"29.0%",731,"25.1%","26.8%",7390,329,"25.5%",0,0.37,0.06,0.25
"CarioK","paiN Gaming","Jungle",12,"33%","58%",30,43,71,2.3,"71.6%","21.3%","23.0%","42%",-89,-187,-4.6,6.8,"18.8%",426,"15.2%","17.0%",1703,238,"19.7%",1,0.41,0.29,0.3
"ceo","Vivo Keyd Stars","ADC",16,"56%","56%",78,38,89,4.4,"69.0%","32.2%","17.4%","19%",42,-215,-1.6,9.8,"31.7%",827,"27.4%","28.8%",7239,357,"27.7%",0,0.56,0.17,0.42
"cody","Fluxo W7M","Middle",16,"56%","69%",58,33,86,4.4,"65.8%","26.5%","15.2%","31%",-81,-178,-7.1,9,"25.1%",689,"25.4%","25.4%",6770,279,"22.3%",0,0.66,0.36,0.22
"Curse","LØS","Jungle",3,"67%","100%",9,13,20,2.2,"59.2%","18.4%","32.5%","0%",-447,-82,1,6.1,"15.2%",453,"14.8%","16.1%",4761,243,"17.8%",1,0.28,0.22,0.25
"curty","Fluxo W7M","Top",16,"56%","44%",34,53,79,2.1,"51.6%","15.5%","24.4%","13%",-202,-79,-8.2,8,"22.3%",566,"20.5%","17.0%",5195,233,"18.5%",0,0.38,0.15,0.16
"Devost","Leviatan","Top",15,"13%","40%",30,59,58,1.5,"56.1%","19.1%","20.7%","7%",-327,-231,-6.9,8.2,"24.5%",588,"21.6%","19.0%",2665,224,"19.8%",0,0.39,0.17,0.13
"Disamis","Vivo Keyd Stars","Jungle",12,"58%","50%",32,33,78,3.3,"65.1%","18.9%","20.2%","33%",-90,-156,-3.2,7.1,"19.5%",472,"15.7%","17.4%",1982,259,"20.1%",2,0.32,0.22,0.31
"Drakehero","LØS","Jungle",15,"47%","67%",42,45,93,3,"64.6%","20.1%","20.7%","27%",-6,1,-0.9,7.1,"19.1%",369,"14.0%","14.9%",2411,250,"19.3%",3,0.31,0.24,0.52
"Duduhh","LØS","ADC",18,"50%","28%",90,61,78,2.8,"65.1%","34.9%","23.7%","22%",89,43,1,9.4,"29.1%",722,"26.2%","27.9%",7843,370,"28.2%",0,0.38,0.13,0.25
"Enga","Leviatan","Middle",15,"13%","47%",35,48,75,2.3,"70.1%","22.3%","16.8%","7%",-54,63,-3.2,8.5,"25.0%",663,"25.4%","26.4%",7720,243,"21.5%",1,0.4,0.17,0.16
"Envy","LOUD","Middle",17,"53%","35%",59,47,97,3.3,"68.1%","25.8%","19.9%","18%",74,10,1.7,8.5,"22.2%",743,"25.8%","25.9%",6739,270,"20.7%",0,0.34,0.1,0.14
"Feisty","LØS","Middle",18,"50%","33%",42,47,109,3.2,"58.5%","16.3%","18.3%","28%",75,102,5.3,8.7,"23.3%",634,"23.4%","23.9%",5992,257,"19.7%",0,0.4,0.26,0.29
"frosty","RED Canids","Support",16,"81%","50%",19,42,198,5.2,"71.6%","6.3%","23.3%","50%",-16,-74,1.7,1.2,"2.4%",258,"8.5%","6.7%",1415,149,"10.6%",0,2.14,0.52,0.55
"Guigo","FURIA","Top",18,"61%","72%",53,46,118,3.7,"59.2%","18.3%","21.9%","17%",110,69,0.1,8.3,"23.2%",652,"21.7%","18.6%",8299,264,"19.8%",0,0.42,0.17,0.19
"JoJo","FURIA","Support",18,"61%","61%",14,32,221,7.3,"81.3%","4.8%","15.2%","22%",10,-34,-1.2,1,"2.1%",239,"8.2%","7.0%",1057,141,"10.5%",0,1.89,0.4,0.47
"Kaiwing","Vivo Keyd Stars","Support",16,"56%","63%",11,33,172,5.5,"75.6%","4.5%","15.1%","25%",-51,164,0.6,1.1,"2.2%",218,"7.4%","5.5%",1197,137,"10.7%",0,1.81,0.25,0.44
"Kaze","RED Canids","Middle",16,"81%","81%",84,38,105,5,"62.4%","27.7%","21.1%","13%",34,68,-0.1,8.7,"23.2%",691,"22.9%","23.7%",8208,296,"21.1%",0,0.5,0.23,0.14
"Keine","paiN Gaming","Middle",16,"25%","38%",35,42,68,2.5,"62.0%","21.1%","16.0%","31%",105,147,6.3,9.1,"24.8%",675,"25.3%","25.8%",5987,252,"21.5%",0,0.39,0.21,0.27
"Kuri","paiN Gaming","Support",16,"25%","50%",17,45,106,2.7,"74.1%","10.2%","17.1%","25%",75,61,1.9,1.1,"2.0%",231,"8.5%","6.1%",489,122,"10.4%",0,2.08,0.27,0.36
"Mireu","Vivo Keyd Stars","Middle",16,"56%","63%",51,55,116,3,"69.0%","21.1%","25.1%","19%",28,20,0.3,8.6,"24.0%",757,"25.2%","25.4%",6741,277,"21.6%",0,0.27,0.13,0.25
"Momochi","Fluxo W7M","Support",16,"56%","44%",7,34,158,4.9,"75.3%","3.2%","15.7%","31%",-193,-90,-1.9,1.1,"2.1%",210,"8.0%","6.8%",1072,128,"10.2%",0,1.99,0.43,0.43
"Morttheus","RED Canids","ADC",14,"79%","64%",60,27,104,6.1,"64.1%","23.4%","16.9%","21%",88,247,4.1,9.9,"28.9%",828,"27.6%","30.3%",8135,373,"26.3%",0,0.43,0.13,0.38
"Peach","Fluxo W7M","Jungle",16,"56%","50%",49,70,104,2.2,"69.9%","22.4%","32.3%","38%",83,85,2.1,7.7,"20.9%",472,"17.2%","19.5%",2652,276,"21.7%",2,0.33,0.2,0.4
"Rabelo","RED Canids","ADC",2,"100%","100%",14,5,14,5.6,"59.6%","29.8%","25.0%","50%",-498,-749,-20,8.7,"27.5%",916,"26.1%","26.9%",7429,336,"24.2%",0,0.44,0.13,0.33
"RedBert","LOUD","Support",12,"50%","50%",3,33,109,3.4,"70.0%","1.9%","20.2%","17%",-94,-141,-0.8,1,"2.2%",236,"8.4%","6.6%",826,128,"9.9%",0,1.86,0.4,0.49
"Robo","paiN Gaming","Top",16,"25%","50%",33,60,54,1.5,"52.4%","19.9%","22.8%","13%",-314,-298,-7.6,8.4,"24.4%",615,"22.8%","20.7%",6899,251,"21.3%",0,0.3,0.1,0.16
"Samkz","paiN Gaming","Jungle",4,"0%","25%",4,19,18,1.2,"88.0%","16.0%","25.0%","25%",-244,-247,-8.5,6.3,"15.3%",386,"15.9%","18.9%",46,199,"18.8%",0,0.33,0.28,0.29
"sarolu","Vivo Keyd Stars","Jungle",4,"50%","0%",21,14,31,3.7,"71.2%","28.8%","25.0%","75%",42,-102,-5.8,6.6,"17.2%",595,"18.7%","19.7%",2125,255,"19.8%",1,0.47,0.46,0.37
"Snaker","Leviatan","ADC",15,"13%","60%",47,49,61,2.2,"68.8%","29.9%","17.2%","40%",85,24,-0.1,9.6,"30.9%",736,"27.6%","29.4%",3958,333,"28.7%",0,0.43,0.17,0.23
"STEPZ","RED Canids","Jungle",16,"81%","50%",78,34,150,6.7,"75.2%","25.7%","18.9%","56%",331,314,8.4,7.7,"21.4%",567,"19.1%","20.0%",3904,306,"21.8%",1,0.39,0.29,0.38
"Tatu","FURIA","Jungle",18,"61%","44%",62,44,138,4.5,"69.2%","21.5%","21.0%","33%",-2,-10,0.3,7.1,"19.7%",489,"16.5%","18.0%",2645,267,"19.9%",1,0.31,0.26,0.46
"TopLop","Leviatan","Support",15,"13%","53%",14,72,100,1.6,"72.6%","8.9%","25.3%","20%",-1,-10,-0.9,1.2,"3.0%",294,"11.2%","9.7%",285,122,"11.0%",0,1.81,0.44,0.62
"Trigger","paiN Gaming","ADC",16,"25%","44%",47,54,47,1.7,"56.6%","28.3%","20.5%","19%",-88,-38,-0.3,9.8,"30.8%",767,"28.1%","30.0%",5255,325,"27.4%",0,0.38,0.09,0.39
"Tutsz","FURIA","Middle",18,"61%","39%",60,54,122,3.4,"63.0%","20.8%","25.7%","28%",-177,-214,-3.7,8.7,"24.5%",674,"23.5%","23.3%",7369,281,"20.9%",1,0.39,0.23,0.31
"uZent","LOUD","Support",5,"60%","20%",5,15,54,3.9,"85.5%","7.2%","20.5%","40%",25,-146,1.4,1.2,"3.0%",298,"9.8%","8.4%",1442,145,"10.8%",0,2.12,0.46,0.69
"Wizer","Vivo Keyd Stars","Top",16,"56%","25%",49,46,84,2.9,"55.0%","20.2%","21.0%","13%",-71,-44,1.9,8.4,"23.1%",717,"23.6%","22.2%",5590,257,"20.1%",0,0.38,0.15,0.16
"xyno","LOUD","Top",17,"53%","53%",55,36,77,3.7,"57.6%","24.0%","15.3%","6%",268,191,7.7,9.5,"26.5%",669,"23.2%","21.9%",10191,299,"22.9%",1,0.34,0.11,0.21
"YoungJae","LOUD","Jungle",17,"53%","53%",54,60,106,2.7,"69.9%","23.6%","25.4%","18%",-73,27,0.4,7.4,"19.9%",491,"17.1%","18.3%",2617,271,"20.7%",2,0.46,0.33,0.38
"Zest","LØS","Top",18,"50%","72%",56,52,72,2.5,"49.6%","21.7%","20.2%","6%",167,101,6,9,"26.5%",703,"26.5%","25.4%",12303,288,"22.2%",0,0.33,0.08,0.18
"zynts","RED Canids","Top",16,"81%","38%",48,34,96,4.2,"47.5%","15.8%","18.9%","19%",296,244,5.3,8.8,"24.3%",678,"22.2%","19.7%",10660,287,"20.5%",0,0.48,0.21,0.12
