"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",20,"30.3%","6.1%","40.9%","55%","60%",80,55,128,3.8,"66.9%","21.2%","35%",-15,121,1.7,7.5,"19.8%",525,"17.9%","20.8%",0.32,0.36
"Aatrox","Top",3,"4.5%","6.1%","40.9%","33%","67%",7,8,11,2.3,"62.1%","22.9%","33%",369,204,9.7,9.4,"26.6%",586,"22.5%","21.7%",0.32,0.22
"Ahri","Middle",13,"19.7%","10.6%","30.3%","62%","38%",47,31,107,5,"70.3%","16.0%","54%",65,-58,-0.3,8.7,"24.2%",725,"25.2%","21.1%",0.3,0.3
"Akali","Middle",7,"10.6%","34.8%","45.5%","43%","86%",30,22,23,2.4,"59.6%","23.9%","14%",-124,70,-1.4,8.8,"24.4%",629,"23.0%","21.8%",0.32,0.24
"Alistar","Support",5,"7.6%","1.5%","9.1%","60%","100%",4,15,48,3.5,"81.3%","22.7%","40%",-123,150,1.8,0.9,"1.2%",156,"6.2%","10.0%",2.04,0.3
"Ambessa","Jungle",2,"3.0%","7.6%","34.8%","0%","50%",4,6,7,1.8,"64.7%","20.7%","0%",513,188,2.5,7.4,"19.1%",329,"15.5%","20.6%",0.28,0.47
"Ambessa","Top",16,"24.2%","7.6%","34.8%","63%","44%",47,49,91,2.8,"53.7%","24.5%","6%",63,51,-0.9,8.7,"26.0%",721,"23.9%","20.8%",0.38,0.14
"Anivia","Middle",5,"7.6%","7.6%","24.2%","20%","80%",7,19,21,1.5,"52.8%","19.2%","0%",199,439,10.6,8.2,"21.5%",656,"23.3%","19.1%",0.53,0.18
"Anivia","Support",6,"9.1%","7.6%","24.2%","33%","83%",8,15,48,3.7,"69.1%","14.2%","0%",-109,-82,-1.7,1.2,"2.6%",300,"10.4%","10.7%",1.92,0.51
"Annie","Middle",9,"13.6%","9.1%","22.7%","33%","44%",14,34,64,2.3,"66.1%","23.9%","33%",111,94,4.8,8.1,"21.8%",657,"23.0%","19.3%",0.3,0.18
"Aphelios","ADC",2,"3.0%","0.0%","3.0%","50%","100%",8,4,4,3,"57.1%","14.3%","0%",-202,-67,-1,10.1,"30.5%",808,"31.0%","30.0%",0.46,0.48
"Ashe","ADC",7,"10.6%","25.8%","37.9%","29%","14%",13,22,34,2.1,"58.0%","21.0%","43%",-196,-77,-3.6,9.1,"28.2%",639,"24.8%","25.3%",0.39,0.29
